86,0,8,6,16,7,0,7,10,0,0,0,0,8,2,0,25,0,0,0,0,2,0,1,0,39,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,19,0,5,2,9,0,17,0,9,4,1,4,3,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,709,1,2,0,0,0,2,0,0,0,1,0,0,0,268,0,0,0,0,0,0,1,0,613,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,0,1,9,5,1,0,6,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,1,0,3,0,0,0,0,4,3,1,0,0,0,35,5,7,0,0,0,4,5
18,0,2,0,108,0,4,9,12,0,0,1,0,1,0,0,44,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,4,0,2,0,0,0,0,6,0,1,1,3,0
4,0,9,1,7,3,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,1,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,15
2,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0
13,0,0,3,0,0,0,15,4,0,0,0,0,0,4,0,1,3,0,0,0,1,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,0,3,0,14,2,0,1
13,0,0,6,5,0,0,0,7,0,0,9,0,0,0,0,24,0,0,0,0,0,0,0,0,8,15,1,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,15,0,3,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,15,2,0,0,0,0,0,0,2,17,0,1,2,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,4,2,0,1,0,0,0,0,37,7,0,1,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,172,10,20,18,1,6,9,0,0,0,0,3,3,0,1505,0,30,0,0,15,0,0,0,528,2,0,0,2,1,0,0,0,0,0,38,3,0,0,1,3,6,1,0,0,1,31,0,6,1,1,1,1,7
0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,4,2,49,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,36,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,188,5,9,1,1,2,2,0,0,0,0,0,1,0,458,0,13,1,0,0,0,1,1,1151,3,0,0,1,2,0,0,2,0,0,21,0,0,3,0,0,1,0,1,0,0,6,0,5,1,0,0,1,1
2,0,1,3,9,0,1,4,2,0,0,0,0,8,2,0,10,0,0,0,0,0,0,0,0,3,54,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,8,0,0,0,0,0,0,0,0,0,20,3,1,4,0,1,0,0,0,14,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,12,0,17,1,0,1,3,13,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,24,58,0,0,0,1,2,0,2,0,0,88,0,0,0,0,0,3,7,0,0,0,29,0,19,1,8,3,2,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,6,1,0,0,0,0,0,0,0,0,7,0,0
2,0,2,1,1,2,0,2,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,8,1,0,0,0,0,0,0,0,4,5,0,0
14,0,0,2,18,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0
2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,1,2,2,1,11,5,7,0,2,0,0,0,0,0,20,0,0,0,0,3,0,1,3,2,14,0,0,4,0,1,0,0,0,0,8,0,0,0,0,0,2,20,0,0,0,59,0,0,5,6,2,2,4
10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,54,0,0,0
33,0,0,3,9,0,1,6,3,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,0,0
1,0,0,0,0,0,4,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,3,0,12,0,0,0,0
4,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,1,0,2,0,0,0
6,0,1,1,5,0,1,3,0,0,0,0,0,2,1,0,3,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,14,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,6,0,0,0,9,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
