b,w,h,n_blocks,tile_rows,tile_cols,total_cells,feasible,in_sample_frac,held_out_frac_mean,held_out_frac_std,held_out_mass_mean,held_out_mass_std,overlap_cells_mean,n_thinnings
0,0,8,1,256,1,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,1,7,1,128,2,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,2,6,1,64,4,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,3,5,1,32,8,256,1,0.834267,0.820138,0.018342,247.083,14.563,0.000,12
0,4,4,1,16,16,256,1,0.942140,0.913038,0.013846,279.000,10.551,0.000,12
0,5,3,1,8,32,256,1,0.800625,0.773377,0.016491,235.750,9.112,0.000,12
0,6,2,1,4,64,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,7,1,1,2,128,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,8,0,1,1,256,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
1,0,7,2,128,1,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
1,1,6,2,64,2,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
1,2,5,2,32,4,256,1,0.834990,0.817305,0.019505,244.167,7.022,0.000,12
1,3,4,2,16,8,256,1,0.949954,0.902512,0.012351,271.583,10.259,5.583,12
1,4,3,2,8,16,256,1,0.959262,0.910538,0.015920,277.917,12.744,0.000,12
1,5,2,2,4,32,256,1,0.791226,0.785342,0.018802,235.000,12.721,0.000,12
1,6,1,2,2,64,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
1,7,0,2,1,128,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
2,0,6,4,64,1,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
2,1,5,4,32,2,256,1,0.829956,0.817782,0.020380,247.750,10.329,0.000,12
2,2,4,4,16,4,256,1,0.958802,0.898691,0.023104,269.333,12.526,0.000,12
2,3,3,4,8,8,256,1,0.981469,0.903309,0.014414,276.167,8.173,21.167,12
2,4,2,4,4,16,256,1,0.963812,0.906521,0.019874,267.417,14.032,0.000,12
2,5,1,4,2,32,256,1,0.791792,0.783617,0.021469,240.583,11.310,0.000,12
2,6,0,4,1,64,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
3,0,5,8,32,1,256,1,0.837701,0.815348,0.010832,246.333,14.721,0.000,12
3,1,4,8,16,2,256,1,0.966159,0.902824,0.020699,269.250,16.032,0.000,12
3,2,3,8,8,4,256,1,0.997322,0.915734,0.010738,275.833,7.414,21.583,12
3,3,2,8,4,8,256,1,0.998125,0.908089,0.016953,274.250,9.968,22.667,12
3,4,1,8,2,16,256,1,0.960757,0.907961,0.016157,279.583,11.405,0.000,12
3,5,0,8,1,32,256,1,0.793013,0.786186,0.017712,237.917,12.426,0.000,12
